Date,Close
0,6.424604893
1,6.435714722
2,6.333343983
3,6.321635246
4,6.363663673
5,6.307527065
6,6.235777855
7,6.323736668
8,6.287112713
9,6.182043076
10,6.455523968
11,6.356158733
12,6.246284485
13,5.936476231
14,6.096184731
15,6.182343006
16,6.240582943
17,5.982709408
18,5.765663624
19,5.845816612
20,5.879740238
21,5.980906487
22,5.765365601
23,5.867733002
24,5.827503204
25,5.889647007
26,5.857523918
27,5.9640975
28,6.015429497
29,6.106092453
30,6.080576897
31,6.091982365
32,6.05415535
33,6.016632557
34,5.915765285
35,6.023836613
36,6.064065456
37,6.142716408
38,6.273905754
39,6.269702435
40,6.284109116
41,6.325537682
42,6.572905064
43,6.576806545
44,6.695086956
45,6.749722004
46,6.769536018
47,6.802559376
48,6.719702244
49,6.738013268
50,6.728108406
51,6.744019985
52,6.671971321
53,6.747020245
54,6.855392456
55,6.885714531
56,6.804058552
57,6.931647301
58,6.97637558
59,7.080245495
60,7.054726124
61,7.083845615
62,7.159497738
63,7.191019535
64,7.222839355
65,7.203327656
66,7.258563042
67,7.273574829
68,7.277773857
69,7.375642776
70,7.472607613
71,7.426977158
72,7.417071819
73,7.342619419
74,7.781816959
75,7.999461651
76,8.130347252
77,8.090419769
78,7.866470814
79,7.853262901
80,8.064600945
81,7.837949753
82,7.995857716
83,7.765602589
84,7.684851646
85,7.392455101
86,7.080543041
87,7.624809265
88,7.700761795
89,7.867971897
90,7.756000996
91,7.619707584
92,7.63171339
93,7.575875759
94,7.455196381
95,7.137583733
96,7.274475574
97,7.407764912
98,7.361533165
99,7.328211784
100,7.605597496
101,7.711565018
102,7.830146313
103,7.923812866
104,7.898892403
105,7.683951378
106,7.533248425
107,7.484920025
108,7.300893307
109,7.520340443
110,7.610404015
111,7.633515358
112,7.795922279
113,8.022879601
114,8.161567688
115,8.227614403
116,8.110534668
117,8.22100544
118,8.134549141
119,8.07541275
120,8.006363869
121,8.054395676
122,7.690252781
123,7.550961494
124,7.459401131
125,7.413167477
126,7.46390152
127,7.765306473
128,7.747893333
129,7.79382515
130,7.723875999
131,7.559067249
132,7.586984634
133,7.548556805
134,7.502025604
135,7.372339249
136,7.561766148
137,7.632314682
138,7.775811195
139,7.80342865
140,7.783616066
141,7.927713871
142,7.834049702
143,7.748496532
144,7.722673416
145,7.860766411
146,7.863170147
147,7.894690037
148,7.856265545
149,7.807934284
150,7.857763767
151,7.787516117
152,7.510734081
153,7.558766365
154,7.478012085
155,7.434180737
156,7.564169407
157,7.59718895
158,7.501428127
159,7.49422121
160,7.378944397
161,7.202726841
162,7.291585445
163,7.213232517
164,7.253461361
165,7.27987957
166,7.297890663
167,7.514935017
168,7.57017231
169,7.768305779
170,7.739485264
171,7.892886639
172,7.897390366
173,7.907599449
174,8.016573906
175,8.047190666
176,8.112035751
177,8.302659035
178,8.266636848
179,8.502597809
180,8.518809319
181,8.638288498
182,8.673410416
183,8.77548027
184,8.740655899
185,8.611570358
186,8.626883507
187,8.518208504
188,8.481284142
189,8.364808083
190,8.674014091
191,8.681515694
192,8.682416916
193,8.828014374
194,8.86674118
195,8.962204933
196,9.01023674
197,9.075382233
198,9.448532104
199,9.546396255
200,9.290923119
201,9.322148323
202,9.291828156
203,9.230284691
204,9.271413803
205,9.247696877
206,9.241094589
207,9.163342476
208,9.035456657
209,9.131520271
210,9.287023544
211,9.390291214
212,9.55450058
213,9.520279884
214,9.56500721
215,9.488755226
216,9.547298431
217,9.505869865
218,9.247094154
